time_ms,pointer,middle,ring,ecg
21532,2427,1893,2843,4095
23381,1909,1597,2839,4095
23401,1272,1564,2777,4095
23421,701,1467,2853,1382
23441,376,1407,2858,0
23461,287,1382,3386,873
23481,607,1367,2787,4095
23501,1207,1380,2780,4095
23521,1887,1463,2851,1517
23541,2469,1526,2872,0
23561,2855,1581,3387,749
23581,2972,1595,2843,4095
23601,2869,1591,2805,4095
23621,2542,1627,2847,1245
23641,2036,1637,2879,0
23661,1544,1653,3439,823
23681,1091,1648,2851,4095
23701,685,1617,2771,4095
23721,660,1575,2859,1804
23741,964,1559,2874,19
23761,1480,1625,3423,1151
23781,2131,1785,2845,4095
23801,2857,2066,2763,4095
23821,3660,2460,2843,804
23841,4095,2863,2918,0
23861,4095,3207,3516,211
23881,3558,3327,2873,3287
23901,2841,3221,2808,4095
23921,2057,2904,2869,805
23941,1631,2514,2889,0
23961,1645,2163,3471,523
23981,1901,1939,2851,4095
24001,2252,1819,2805,4095
24021,2535,1830,2885,1447
24041,2731,1873,2876,0
24061,2776,1955,3477,655
24081,2760,2035,2855,4095
24101,2765,2122,2800,4095
24121,2862,2228,2863,1315
24141,3027,2357,2879,0
24161,3204,2453,3506,533
24181,3279,2475,2857,4095
24201,3244,2469,2807,4095
24221,3067,2422,2888,1367
24241,2733,2300,2901,0
24261,2207,2151,3481,611
24281,1609,2025,2863,4095
24301,1083,1961,2806,4095
24321,747,1943,2889,1821
24341,585,1983,2893,0
24361,587,2035,3477,702
25756,1619,1892,2887,729
25776,1983,1944,2906,0
25796,2601,2026,3179,1885
25816,3549,2205,2840,4095
25836,4095,2454,2811,3588
25856,4095,2715,2899,0
25876,4095,2875,2923,0
25896,4095,2875,3252,1333
25916,4095,2765,2869,4095
25936,4095,2632,2809,3694
25956,4095,2520,2892,1
25976,3991,2397,2915,18
25996,3060,2253,3231,1679
26016,2477,2123,2875,4095
26036,2101,2045,2807,3838
26056,1932,2073,2892,55
26076,1938,2173,2909,0
26096,2085,2261,3251,811
26116,2246,2335,2861,3179
26136,2379,2319,2798,2701
26156,2454,2225,2905,0
26176,2495,2055,2891,0
26196,2468,1838,3213,937
26216,2365,1615,2856,4095
26236,2169,1426,2799,3796
26256,1939,1277,2879,392
26276,1659,1192,2886,0
26296,1388,1160,3191,2413
26316,1167,1149,2851,4095
26336,999,1189,2791,4095
26356,907,1259,2886,1757
26376,875,1378,2873,423
26396,895,1515,3212,2513
26416,919,1619,2857,4095
26436,949,1727,2781,4095
26456,968,1833,2869,1099
26476,971,1870,2892,41
26496,939,1850,3251,4095
26516,913,1805,2859,4095
26536,927,1755,2779,4095
26556,998,1696,2873,821
26576,1075,1623,2893,0
26596,1097,1498,3219,1881
26616,1116,1349,2857,4095
26636,1225,1236,2776,4095
26656,1428,1193,2869,827
26676,1681,1175,2887,0
26696,1895,1171,3256,1977
26716,2009,1199,2853,4095
26736,2041,1255,2792,4095
27265,3013,2237,2872,4095
27285,2268,2080,2857,4095
27305,1232,1901,2857,1911
27325,348,1717,2868,0
27345,0,1615,3398,623
27365,0,1513,2839,4095
27385,0,1465,2829,4095
27405,0,1525,2847,2729
27425,397,1591,2869,1685
27445,1672,1611,3430,441
27465,2733,1598,2839,4007
27485,3371,1673,2825,4095
27505,3605,1747,2841,1811
27525,3426,1913,2889,0
27545,3065,2099,3455,378
27565,2601,2237,2858,4051
27585,2015,2325,2852,4095
27605,1269,2343,2855,1797
27625,685,2219,2893,0
27645,358,2084,3468,585
27665,287,2129,2851,4095
27685,393,2155,2851,4095
27705,638,2275,2860,1919
27725,999,2551,2913,0
27745,1443,2975,3527,0
27765,1815,3426,2873,2905
27785,1963,3784,2879,3897
27805,1847,3869,2875,997
27825,1899,3691,2953,0
27845,2359,3381,3579,29
27865,2954,2997,2887,3230
27885,3515,2620,2873,4095
27905,3925,2283,2870,1817
27925,3967,1981,2909,0
27945,3627,1724,3425,401
27965,3129,1467,2859,4095
27985,2585,1285,2835,4095
28005,2052,1263,2843,2263
28025,1235,1381,2875,0
28045,442,1580,3411,426
28065,0,1835,2840,4095
28085,0,2137,2851,4095
28105,547,2355,2839,1855
28125,1405,2507,2906,0
28145,2212,2507,3475,165
28165,2744,2375,2845,3855
28185,2952,2147,2838,4095
28205,2837,1881,2831,2096
28225,2355,1595,2879,0
28245,1559,1337,3369,423
29778,4095,2094,3397,137
29799,4095,1575,2825,4095
29819,4095,1135,2761,4095
29839,4095,893,2842,2087
29859,4095,855,2904,0
29879,4095,925,3357,715
29899,4095,1087,2797,4095
29919,4095,1286,2781,4095
29939,4095,1515,2861,1701
29959,4095,1699,2901,0
29979,3791,1815,3390,436
29999,2489,1851,2829,4095
30019,1083,1779,2792,4095
30039,0,1657,2915,1877
30059,0,1541,2905,0
30079,0,1439,3383,590
30099,245,1404,2806,4095
30119,971,1435,2781,4095
30139,1605,1483,2886,1771
30159,1948,1503,2967,0
30179,1979,1494,3368,555
30199,1497,1477,2803,4095
30219,729,1427,2795,4095
30239,111,1384,2887,1791
30259,8,1367,2987,0
30279,343,1383,3384,1599
30299,891,1406,2807,4095
30319,1447,1481,2805,4095
30339,1933,1577,2889,1390
30359,2327,1741,2949,0
30379,2584,1940,3454,345
30399,2651,2117,2811,3893
30419,2585,2301,2822,4095
30439,2388,2489,2869,1467
30459,2093,2623,2909,0
30479,1573,2680,3435,350
30499,795,2587,2823,4095
30519,108,2357,2807,4095
